"Figure_Set","Subset_Type","Metric","Observed"
"Figure2_distance","dispersed","MinPD",24.177519781
"Figure2_distance","dispersed","MeanPD",64.1132671015651
"Figure2_distance","dispersed","MeanNND",29.8317048439981
"Figure2_distance","dispersed","MaxPD",77.5667217162
"Figure2_distance","clustered","MinPD",0.715231599
"Figure2_distance","clustered","MeanPD",16.846916487843
"Figure2_distance","clustered","MeanNND",6.18370040614781
"Figure2_distance","clustered","MaxPD",20.252180866
"Figure3_dependence","dispersed","MeanOffCor",0.173443594324483
"Figure3_dependence","dispersed","MaxOffCor",0.688300334167884
"Figure3_dependence","dispersed","MeanESS",8.9135272166287
"Figure3_dependence","clustered","MeanOffCor",0.782807408701561
"Figure3_dependence","clustered","MaxOffCor",0.99077914307287
"Figure3_dependence","clustered","MeanESS",1.29304586459605
