"Metric","Type","Num_Datasets","Avg_Rank","Min_Rank","Max_Rank","Std_Rank","Stability_Score"
"cn_smape","Percentage Error",6,4,1,8,2.82842712474619,0.261203874963741
"rmse","Error",6,6,2,11,3.84707681233427,0.206309913937266
"see","Error",6,7,3,12,3.84707681233427,0.206309913937266
"pearson_corr","Correlation",6,7.66666666666667,1,23,8.33466656001706,0.107127554430629
"R_geo","Error",6,8.5,4,17,4.67974358271904,0.176064286254499
"spearman_corr","Correlation",6,8.83333333333333,2,20,7.1670542530852,0.122443168492757
"ols_r2","R-squared",6,9.66666666666667,2,18,5.85377371160405,0.145905021390903
"mae","Error",6,9.83333333333333,4,17,5.70672118354022,0.14910415576157
"pic_spearman","Correlation",6,11.1666666666667,1,24,9.15241316083724,0.0984987494261446
"smape","Percentage Error",6,11.1666666666667,1,18,5.98052394583172,0.14325572231539
"pic_rmse","Error",6,12.3333333333333,4,17,4.67618077780005,0.176174797658149
"pic_mae","Error",6,12.5,6,18,4.84767985741633,0.171007993662948
"pic_pearson","Correlation",6,12.5,1,23,10.8581766425123,0.084329996941936
"adjusted_r2","R-squared",6,13.5,3,25,7.63544366752843,0.11580180920643
"pic_r2","R-squared",6,13.5,4,20,6.50384501660364,0.133265012508563
"whitened_mae","Error",6,13.5,9,17,3.27108544675922,0.234132520284456
"whitened_rmse","Error",6,13.8333333333333,11,18,2.92688685580203,0.254654650546523
"mse","Error",6,14.1666666666667,8,19,3.7638632635454,0.209913665585727
"median_ae","Error",6,14.5,6,22,5.85662018573853,0.145844450022178
"R_median","Error",6,15.6666666666667,5,23,7.76316086827181,0.114114075392663
"mape","Percentage Error",6,18.1666666666667,13,20,2.63944438597722,0.274767215526908
"whitened_r2","R-squared",6,19,9,25,6.41872261435249,0.13479409488439
"R_whole","Error",6,22.1666666666667,19,25,2.13697605664328,0.318778333638303
"percent_see","Error",6,22.8333333333333,18,25,2.78687399547713,0.264070048592679
"R_ari","Error",6,23,21,24,1.09544511501033,0.477225575051661
