"Metric","time_var_rank_simulation_data_Bad","time_var_rank_simulation_data_Good","time_var_rank_simulation_data_UC1","time_var_rank_simulation_data_UC2_st","time_var_rank_simulation_data_UC2_wk","time_var_rank_simulation_data_UC3"
"R_geo",1,8,7,8,6,2
"cn_smape",2,6,3,1,1,1
"R_ari",3,11,4,18,18,18
"R_whole",4,7,12,17,17,6
"R_median",5,5,1,16,11,3
"weighted_rmse",6,13,2,2,5,10
"smape",7,17,10,7,8,14
"rmse",8,10,6,3,2,7
"see",9,9,5,4,3,8
"percent_see",10,15,11,6,9,12
"mae",11,12,9,5,4,9
"mape",12,18,15,10,13,17
"median_ae",13,14,NA,9,7,11
"mse",14,16,8,11,10,16
"ols_r2",15,2,16,14,15,13
"pearson_corr",16,1,14,12,12,4
"adjusted_r2",17,3,17,15,16,15
"spearman_corr",18,4,13,13,14,5
